1|1|Gen 1;Giob 1:1-12;Is 1:1-15;Mat 1|
2|1|Gen 2;Giob 1:13-22;Is 1:16-31;Mat 2:1-12|
3|1|Gen 3;Giob 2;Is 2:1-8;Mat 2:13-23|
4|1|Gen 4;Giob 3;Is 2:9-22;Mat 3|
5|1|Gen 5-6;Giob 4;Is 3;Mat 4:1-22|
6|1|Gen 7-8;Giob 5;Is 4;Mat 4:23-5:16|
7|1|Gen 9-10;Giob 6:1-13;Is 5:1-7;Mat 5:17-48|
8|1|Gen 11;Giob 6:14-30;Is 5:8-30;Mat 6:1-18|
9|1|Gen 12-13;Giob 7;Is 6;Mat 6:19-34|
10|1|Gen 14-15;Giob 8;Is 7:1-9;Mat 7|
11|1|Gen 16-17;Giob 9:1-20;Is 7:10-25;Mat 8:1-22|
12|1|Gen 18;Giob 9:21-35;Is 8;Mat 8:23-9:13|
13|1|Gen 19;Giob 10;Is 9;Mat 9:14-38|
14|1|Gen 20-21;Giob 11;Is 10:1-19;Mat 10:1-15|
15|1|Gen 22-23;Giob 12;Is 10:20-34;Mat 10:16-42|
16|1|Gen 24:1-33;Giob 13:1-12;Is 11;Mat 11:1-19|
17|1|Gen 24:34-67;Giob 13:13-28;Is 12;Mat 11:20-30|
18|1|Gen 25;Giob 14;Is 13;Mat 12:1-21|
19|1|Gen 26;Giob 15:1-16;Is 14:1-23;Mat 12:22-50|
20|1|Gen 27;Giob 15:17-35;Is 14:24-32;Mat 13:1-30|
21|1|Gen 28;Giob 16;Is 15;Mat 13:31-58|
22|1|Gen 29;Giob 17;Is 16;Mat 14:1-21|
23|1|Gen 30;Giob 18;Is 17;Mat 14:22-36|
24|1|Gen 31;Giob 19:1-12;Is 18;Mat 15:1-28|
25|1|Gen 32-33;Giob 19:13-29;Is 19:1-17;Mat 15:29-16:12|
26|1|Gen 34;Giob 20:1-11;Is 19:18-25;Mat 16:13-28|
27|1|Gen 35;Giob 20:12-29;Is 20;Mat 17|
28|1|Gen 36;Giob 21:1-21;Is 21;Mat 18:1-14|
29|1|Gen 37;Giob 21:22-34;Is 22:1-14;Mat 18:15-35|
30|1|Gen 38;Giob 22;Is 22:15-25;Mat 19:1-15|
31|1|Gen 39-40;Giob 23;Is 23;Mat 19:16-30|
1|2|Gen 41;Giob 24;Is 24;Mat 20|
2|2|Gen 42;Giob 25;Is 25;Mat 21:1-22|
3|2|Gen 43;Giob 26;Is 26;Mat 21:23-46|
4|2|Gen 44;Giob 27:1-10;Is 27;Mat 22:1-22|
5|2|Gen 45;Giob 27:11-23;Is 28:1-15;Mat 22:23-46|
6|2|Gen 46;Giob 28;Is 28:16-29;Mat 23|
7|2|Gen 47;Giob 29:1-12;Is 29:1-8;Mat 24:1-28|
8|2|Gen 48;Giob 29:13-25;Is 29:9-24;Mat 24:29-51|
9|2|Gen 49;Giob 30:1-15;Is 30:1-17;Mat 25:1-30|
10|2|Gen 50;Giob 30:16-31;Is 30:18-33;Mat 25:31-26:16|
11|2|Eso 1-2;Giob 31:1-23;Is 31;Mat 26:17-46|
12|2|Eso 3;Giob 31:24-40;Is 32;Mat 26:47-75|
13|2|Eso 4;Giob 32;Is 33:1-12;Mat 27:1-31|
14|2|Eso 5;Giob 33:1-18;Is 33:13-24;Mat 27:32-66|
15|2|Eso 6;Giob 33:19-33;Is 34;Mat 28|
16|2|Eso 7;Giob 34:1-20;Is 35;At 1|
17|2|Eso 8;Giob 34:21-37;Is 36;At 2:1-13|
18|2|Eso 9;Giob 35;Is 37:1-20;At 2:14-36|
19|2|Eso 10-11;Giob 36:1-15;Is 37:21-38;At 2:37-47|
20|2|Eso 12;Giob 36:16-33;Is 38;At 3|
21|2|Eso 13;Giob 37:1-13;Is 39;At 4:1-31|
22|2|Eso 14;Giob 37:14-24;Is 40:1-11;At 4:32-5:16|
23|2|Eso 15;Giob 38:1-21;Is 40:12-31;At 5:17-42|
24|2|Eso 16;Giob 38:22-41;Is 41:1-20;At 6|
25|2|Eso 17;Giob 39;Is 41:21-29;At 7:1-34|
26|2|Eso 18;Giob 40:1-14;Is 42:1-12;At 7:35-60|
27|2|Eso 19;Giob 40:15-32;Is 42:13-25;At 8:1-25|
28|2|Eso 20;Giob 41:1-11;Is 43:1-13;At 8:26-40|
1|3|Eso 21;Giob 41:12-26;Is 43:14-28;At 9:1-22|
2|3|Eso 22;Giob 42;Is 44:1-20;At 9:23-43|
3|3|Eso 23;Sal 1;Is 44:21-28;At 10:1-23|
4|3|Eso 24;Sal 2;Is 45:1-13;At 10:24-48|
5|3|Eso 25;Sal 3;Is 45:14-25;At 11:1-18|
6|3|Eso 26;Sal 4;Is 46;At 11:19-30|
7|3|Eso 27;Sal 5;Is 47;At 12:1-25|
8|3|Eso 28;Sal 6;Is 48:1-11;At 13:1-13|
9|3|Eso 29;Sal 7;Is 48:12-22;At 13:14-52|
10|3|Eso 30;Sal 8;Is 49:1-13;At 14|
11|3|Eso 31;Sal 9:1-21;Is 49:14-26;At 15:1-29|
12|3|Eso 32;Sal 10;Is 50;At 15:30-16:10|
13|3|Eso 33;Sal 11;Is 51:1-8;At 16:11-40|
