ID Parola,POS,Gramm,Parola,No punct,Standard,Lemma,Inglese,NR06,NR94,R20,Temp
1010100100,N-,----NSF-,Βίβλος,Βίβλος,βίβλος,βίβλος,scroll,-,-,-,
1010100200,N-,----GSF-,γενέσεως,γενέσεως,γενέσεως,γένεσις,be born,Genealogia,Genealogia,Genealogia,
1010100300,N-,----GSM-,Ἰησοῦ,Ἰησοῦ,Ἰησοῦ,Ἰησοῦς,Jesus,di Gesù,di Gesù,di Gesù,
1010100400,N-,----GSM-,χριστοῦ,χριστοῦ,Χριστοῦ,Χριστός,Christ,Cristo,Cristo,Cristo,
1010100500,N-,----GSM-,υἱοῦ,υἱοῦ,υἱοῦ,υἱός,son,figlio,figlio,figlio,
1010100600,N-,----GSM-,Δαυὶδ,Δαυὶδ,Δαυίδ,Δαυίδ,-,di Davide,di Davide,di Davide,
1010100700,N-,----GSM-,υἱοῦ,υἱοῦ,υἱοῦ,υἱός,son,figlio,figlio,figlio,
1010100800,N-,----GSM-,Ἀβραάμ.,Ἀβραάμ,Ἀβραάμ,Ἀβραάμ,Abraham,di Abraamo,di Abraamo,di Abraamo,
1010200100,N-,----NSM-,Ἀβραὰμ,Ἀβραὰμ,Ἀβραάμ,Ἀβραάμ,Abraham,Abraamo,Abraamo,Abraamo,
1010200200,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010200300,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010200400,N-,----ASM-,"Ἰσαάκ,",Ἰσαάκ,Ἰσαάκ,Ἰσαάκ,Isaac,Isacco,Isacco,Isacco,
1010200500,N-,----NSM-,Ἰσαὰκ,Ἰσαὰκ,Ἰσαάκ,Ἰσαάκ,Isaac,Isacco,Isacco,Isacco,
1010200600,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010200700,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010200800,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010200900,N-,----ASM-,"Ἰακώβ,",Ἰακώβ,Ἰακώβ,Ἰακώβ,Jacob,Giacobbe,Giacobbe,Giacobbe,
1010201000,N-,----NSM-,Ἰακὼβ,Ἰακὼβ,Ἰακώβ,Ἰακώβ,Jacob,Giacobbe,Giacobbe,Giacobbe,
1010201100,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010201200,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010201300,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010201400,N-,----ASM-,Ἰούδαν,Ἰούδαν,Ἰούδαν,Ἰούδας,Judas,Giuda,Giuda,Giuda,
1010201500,C-,--------,καὶ,καὶ,καί,καί,and,e,e,e,
1010201600,RA,----APM-,τοὺς,τοὺς,τούς,ὁ,-,i,i,i,
1010201700,N-,----APM-,ἀδελφοὺς,ἀδελφοὺς,ἀδελφούς,ἀδελφός,brother,fratelli2,fratelli2,fratelli2,
1010201800,RP,----GSM-,"αὐτοῦ,",αὐτοῦ,αὐτοῦ,αὐτός,same,suoi1,suoi1,suoi1,
1010300100,N-,----NSM-,Ἰούδας,Ἰούδας,Ἰούδας,Ἰούδας,Judas,Giuda,Giuda,Giuda,
1010300200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010300300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010300400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010300500,N-,----ASM-,Φαρὲς,Φαρὲς,Φαρές,Φαρές,-,Perez,Fares,Perez,
1010300600,C-,--------,καὶ,καὶ,καί,καί,and,e,e,e,
1010300700,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010300800,N-,----ASM-,Ζάρα,Ζάρα,Ζάρα,Ζάρα,-,Zerac,Zara,Zerac,
1010300900,P-,--------,ἐκ,ἐκ,ἐκ,ἐκ,-,da,da,da,
1010301000,RA,----GSF-,τῆς,τῆς,τῆς,ὁ,-,>,>,>,
1010301100,N-,----GSF-,"Θαμάρ,",Θαμάρ,Θαμάρ,Θαμάρ,-,Tamar,Tamar,Tamar,
1010301200,N-,----NSM-,Φαρὲς,Φαρὲς,Φαρές,Φαρές,-,Perez,Fares,Perez,
1010301300,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010301400,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010301500,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010301600,N-,----ASM-,"Ἑσρώμ,",Ἑσρώμ,Ἑσρώμ,Ἑσρώμ,-,Chesron,Esrom,Chesron,
1010301700,N-,----NSM-,Ἑσρὼμ,Ἑσρὼμ,Ἑσρώμ,Ἑσρώμ,-,Chesron,Esrom,Chesron,
1010301800,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010301900,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010302000,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010302100,N-,----ASM-,"Ἀράμ,",Ἀράμ,Ἀράμ,Ἀράμ,Aram,Ram,Aram,Ram,
1010400100,N-,----NSM-,Ἀρὰμ,Ἀρὰμ,Ἀράμ,Ἀράμ,Aram,Ram,Aram,Ram,
1010400200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010400300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010400400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010400500,N-,----ASM-,"Ἀμιναδάβ,",Ἀμιναδάβ,Ἀμιναδάβ,Ἀμιναδάβ,Amminadab,Amminadab,Aminadab,Amminadab,
